,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
4423,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,150,5,"
Drinks
",http://chubbygrub.com/food/wine-six-ounces/,0,Wine – 6 Ounces
4424,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,840,81,"
Appetizers
",http://chubbygrub.com/food/zucchini-fritti/,51,Zucchini Fritti
4425,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1017,60,"
Burgers
",http://chubbygrub.com/food/alpine-swiss-burger/,65,Alpine Swiss Burger*
4426,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,401,3,"
Entrees
",http://chubbygrub.com/food/asiago-peppercorn-sirloin/,20,Asiago Peppercorn Sirloin*
4427,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,401,3,"
Entrees
",http://chubbygrub.com/food/asiago-peppercorn-sirloin-2/,20,Asiago Peppercorn Sirloin*
4428,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,61,1,"
Appetizers
",http://chubbygrub.com/food/asian-chicken-lettuce-wraps/,1,Asian Chicken Lettuce Wraps
4429,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,244,4,"
Sandwiches
",http://chubbygrub.com/food/asian-chicken-lettuce-wraps-2/,4,Asian Chicken Lettuce Wraps
4430,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,115,12,"
Sides
",http://chubbygrub.com/food/asian-dumplings/,5,Asian Dumplings
4431,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,417,14,"
Seafood
",http://chubbygrub.com/food/asian-glazed-salmon/,25,Asian Glazed Salmon
4432,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,506,16,"
Entrees
",http://chubbygrub.com/food/asian-sesame-glazed-half-rack/,29,Asian Sesame Glazed Half-Rack
4433,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,936,56,"
Burgers
",http://chubbygrub.com/food/avocado-grilled-chicken-sandwich/,47,Avocado Grilled Chicken Sandwich
4434,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,968,57,"
Burgers
",http://chubbygrub.com/food/avocado-turkey-burger/,61,Avocado Turkey Burger
4435,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1007,58,"
Burgers
",http://chubbygrub.com/food/bacon-cheeseburger-3/,67,Bacon Cheeseburger*
4436,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,376,14,"
Appetizers
",http://chubbygrub.com/food/baja-chicken-quesadilla/,24,Baja Chicken Quesadilla
